,budget,country,genre,gross,name,rating,runtime,score,star,votes,year,Trailer_View_Count,Trailer_Likes_Count,Trailer_Dislikes_Count,Trailer_Comments_Count
0,125000000,USA,Action,54645723,Assassin's Creed,PG-13,115,5.9,Michael Fassbender,133338,2016,260850,194,7,19
1,30000000,USA,Comedy,151101803,La La Land,PG-13,128,8.2,Ryan Gosling,308891,2016,4196266,18197,679,1189
2,175000000,USA,Action,325100054,Suicide Squad,PG-13,123,6.2,Will Smith,435667,2016,84610333,652765,20033,88009
3,75000000,USA,Animation,270329045,Sing,PG,108,7.1,Matthew McConaughey,81466,2016,6778207,15616,1090,3472
4,150000000,USA,Animation,248757044,Moana,PG,107,7.6,Auli'i Cravalho,157290,2016,10017600,60950,1915,10783
5,90000000,USA,Action,93381044,The Magnificent Seven,PG-13,132,6.9,Denzel Washington,138262,2016,11439716,21712,1411,3979
6,44000000,USA,Action,86198014,The Accountant,R,128,7.4,Ben Affleck,188598,2016,3083019,9570,907,1266
7,30000000,USA,Adventure,8574339,The Lost City of Z,PG-13,141,6.6,Charlie Hunnam,39409,2016,3755706,2226,309,258
8,22500000,USA,Crime,10639114,Nocturnal Animals,R,116,7.5,Amy Adams,152436,2016,5109937,3754,704,458
9,25000000,USA,Biography,169380936,Hidden Figures,PG,127,7.8,Taraji P. Henson,121818,2016,6939478,9173,893,1545
10,47000000,USA,Drama,100546139,Arrival,PG-13,116,8,Amy Adams,391385,2016,2308168,10088,355,1522
11,125000000,USA,Animation,153707064,Trolls,PG,92,6.5,Anna Kendrick,49423,2016,25772646,35477,7311,1042
12,200000000,USA,Action,532177324,Rogue One,PG-13,133,7.9,Felicity Jones,365473,2016,404764,8830,160,1283
13,58000000,USA,Action,363070709,Deadpool,R,108,8,Ryan Reynolds,668625,2016,17587657,102806,3207,4137
14,110000000,USA,Adventure,100014699,Passengers,PG-13,116,7,Jennifer Lawrence,237553,2016,27717074,125763,5862,18069
15,250000000,USA,Action,330360194,Batman v Superman: Dawn of Justice,PG-13,151,6.6,Ben Affleck,497351,2016,28721465,177817,15726,52072
16,185000000,USA,Action,158848340,Star Trek Beyond,PG-13,122,7.1,Chris Pine,179426,2016,18510389,67118,26831,20757
17,165000000,USA,Action,232641920,Doctor Strange,PG-13,115,7.5,Benedict Cumberbatch,348307,2016,452035,1262,54,111
18,250000000,USA,Action,408084349,Captain America: Civil War,PG-13,147,7.9,Chris Evans,442645,2016,78307256,661072,14724,141483
19,45000000,USA,Crime,75311445,The Girl on the Train,R,112,6.5,Emily Blunt,116916,2016,4462493,8587,902,1551
20,178000000,USA,Action,155442489,X-Men: Apocalypse,PG-13,144,7,James McAvoy,296415,2016,30158874,141615,7603,24860
21,150000000,USA,Animation,341268248,Zootopia,PG,108,8,Ginnifer Goodwin,317549,2016,6036697,10120,627,1388
22,12000000,USA,Crime,26862450,Hell or High Water,R,102,7.6,Chris Pine,132328,2016,779134,108,21,8
23,110000000,USA,Action,66002193,Allegiant,PG-13,120,5.7,Shailene Woodley,76550,2016,3031403,11735,1735,1445
24,46000000,USA,Adventure,7079191,Silence,R,161,7.2,Andrew Garfield,61798,2016,26163,50,1,8
25,25000000,USA,Biography,12785093,The Founder,PG-13,100,7.2,Michael Keaton,62193,2016,254152,338,20,51
26,35000000,USA,Action,30348260,Underworld: Blood Wars,R,91,5.8,Kate Beckinsale,49911,2016,5330235,10866,632,1491
27,20000000,USA,Adventure,7222964,Gold,R,120,6.7,Matthew McConaughey,32147,2016,2228861,2313,172,327
28,50000000,USA,Comedy,36261763,The Nice Guys,R,116,7.4,Russell Crowe,193151,2016,1033246,5956,264,200
29,60000000,USA,Biography,125070033,Sully,PG-13,96,7.5,Tom Hanks,157212,2016,14834733,54966,2073,8696
30,20000000,USA,Comedy,113257297,Bad Moms,R,100,6.2,Mila Kunis,76251,2016,1961033,4873,843,872
31,40000000,USA,Drama,8106986,A Cure for Wellness,R,146,6.4,Dane DeHaan,45187,2016,15901840,25318,1984,2212
32,150000000,USA,Action,45157105,The Great Wall,PG-13,103,6,Matt Damon,82181,2016,2778578,5281,3040,4199
33,40000000,USA,Comedy,43017433,War Dogs,R,114,7.1,Jonah Hill,123020,2016,5709848,2990,349,220
34,38000000,USA,Comedy,60269575,Why Him?,R,111,6.3,Zoey Deutch,63612,2016,23201,230,12,12
35,108000000,USA,Action,10377558,Live by Night,R,129,6.4,Ben Affleck,35064,2016,1928642,7408,351,1167
36,140000000,USA,Action,31153464,Gods of Egypt,PG-13,127,5.4,Brenton Thwaites,78473,2016,4641317,11766,1552,2784
37,40000000,USA,Action,14896798,Keeping Up with the Joneses,PG-13,105,5.8,Zach Galifianakis,39443,2016,4317711,8359,554,835
38,19000000,USA,Animation,97661826,Sausage Party,R,89,6.2,Seth Rogen,133200,2016,4037862,10885,802,1535
39,36000000,USA,Drama,30982955,Collateral Beauty,PG-13,97,6.8,Will Smith,56439,2016,3247078,8463,401,1080
40,75000000,USA,Action,34343574,Inferno,PG-13,121,6.2,Tom Hanks,111448,2016,6875443,16879,826,2051
41,144000000,USA,Action,128344089,Ghostbusters,PG-13,116,5.3,Melissa McCarthy,157351,2016,279609,373,27,45
42,15000000,USA,Drama,71897215,10 Cloverfield Lane,PG-13,104,7.2,John Goodman,208655,2016,9488126,31606,1156,7112
43,20000000,USA,Adventure,38562379,Nerve,PG-13,96,6.6,Emma Roberts,81127,2016,8619008,32218,1233,3707
44,33000000,USA,Adventure,46007113,Mike and Dave Need Wedding Dates,R,98,6,Zac Efron,61076,2016,1544516,3733,271,257
45,17000000,USA,Drama,55121623,The Shallows,PG-13,86,6.3,Blake Lively,87057,2016,20270544,65859,7672,10995
46,24000000,USA,Drama,57642961,Fences,PG-13,139,7.2,Denzel Washington,62351,2016,4589670,14502,389,1808
47,200000000,USA,Animation,486295561,Finding Dory,PG,97,7.4,Ellen DeGeneres,173005,2016,3760815,12774,406,1004
48,115000000,USA,Action,47952020,The Huntsman: Winter's War,PG-13,114,6.1,Chris Hemsworth,71570,2016,8581809,18232,909,2533
49,165000000,USA,Action,103144286,Independence Day: Resurgence,PG-13,120,5.3,Liam Hemsworth,137119,2016,1869088,5956,255,1161
50,50000000,USA,Action,127440871,Central Intelligence,PG-13,107,6.3,Dwayne Johnson,106773,2016,113077,1592,31,88
51,28000000,USA,Action,10907291,Pride and Prejudice and Zombies,PG-13,108,5.8,Lily James,37491,2016,1944179,815,44,115
52,100000000,USA,Action,26384681,Ben-Hur,PG-13,123,5.7,Jack Huston,31863,2016,64558,156,30,37
53,31500000,USA,Action,14268533,Criminal,R,113,6.3,Kevin Costner,42478,2016,3430019,3804,290,481
54,27500000,USA,Comedy,35537564,Dirty Grandpa,R,102,6,Robert De Niro,82289,2016,1391187,3745,294,373
55,70000000,USA,Animation,72655779,Storks,PG,87,6.8,Andy Samberg,40740,2016,311173,2685,152,267
56,25000000,USA,Action,17356894,Masterminds,PG-13,95,5.8,Zach Galifianakis,34656,2016,3557943,9966,304,409
57,38000000,USA,Action,34912982,The 5th Wave,PG-13,112,5.2,Chloë Grace Moretz,76535,2016,32577,194,26,19
58,135000000,USA,Action,82051601,Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,112,6,Megan Fox,64684,2016,4303424,8573,850,1189
59,35000000,USA,Comedy,55291815,Neighbors 2: Sorority Rising,R,92,5.7,Seth Rogen,83340,2016,17827099,104822,5128,8120
60,60000000,USA,Animation,48023088,Kubo and the Two Strings,PG,101,7.8,Charlize Theron,82575,2016,6380270,29096,1531,3442
61,20000000,USA,Action,12626905,Triple 9,R,115,6.3,Casey Affleck,51631,2016,2244843,809,91,45
62,30000000,USA,Comedy,11103205,Café Society,PG-13,96,6.7,Jesse Eisenberg,50826,2016,230196,854,121,131
63,170000000,USA,Adventure,77042381,Alice Through the Looking Glass,PG,113,6.2,Mia Wasikowska,62895,2016,208939,1618,40,71
64,18000000,USA,Drama,3707794,Midnight Special,PG-13,112,6.7,Michael Shannon,58549,2016,57434,675,38,85
65,10000000,USA,Action,79003080,The Purge: Election Year,R,108,6,Frank Grillo,60239,2016,8538629,33421,2170,8902
66,105000000,USA,Animation,64063008,Ice Age: Collision Course,PG,94,5.7,Ray Romano,38556,2016,569233,4884,90,203
67,50000000,USA,Comedy,28848693,Zoolander 2,PG-13,101,4.7,Ben Stiller,51053,2016,21724855,83051,5291,9833
68,10000000,USA,Comedy,3369431,Everybody Wants Some!!,R,117,7,Blake Jenner,39909,2016,100484,91,4,10
69,45000000,USA,Comedy,54730514,Office Christmas Party,R,105,5.8,Jason Bateman,37358,2016,3328814,1514,288,163
70,140000000,USA,Adventure,55483770,The BFG,PG,117,6.4,Mark Rylance,56297,2016,8712000,29498,2101,6599
71,80000000,USA,Action,27550735,The Finest Hours,PG-13,117,6.8,Chris Pine,47688,2016,7888262,8737,575,1034
72,20000000,USA,Comedy,9393835,Popstar: Never Stop Never Stopping,R,87,6.7,Andy Samberg,35620,2016,4602036,12871,4068,1369
73,38000000,USA,Comedy,46813366,How to Be Single,R,110,6.1,Dakota Johnson,63520,2016,7218805,37734,1567,1307
74,65000000,USA,Action,76204454,Pete's Dragon,PG,102,6.7,Bryce Dallas Howard,41083,2016,9807192,26397,2371,4840
75,27000000,USA,Crime,41012075,Money Monster,R,98,6.5,George Clooney,72997,2016,40611,262,22,19
76,50000000,USA,Action,20758378,Free State of Jones,R,139,6.9,Matthew McConaughey,34513,2016,5333636,6463,538,2188
77,25000000,USA,Comedy,32463917,Mother's Day,PG-13,118,5.6,Jennifer Aniston,22504,2016,1090275,728,267,138
78,10000000,USA,Horror,26583369,The Forest,PG-13,93,4.8,Natalie Dormer,30580,2016,2035405,3747,1512,477
79,35000000,USA,Biography,23049575,Whiskey Tango Foxtrot,R,112,6.6,Tina Fey,38907,2016,5588263,14198,2735,2496
80,15000000,USA,Action,20566327,Keanu,R,100,6.3,Keegan-Michael Key,34580,2016,2596213,8552,366,520
81,13000000,USA,Biography,61693523,Miracles from Heaven,PG,109,7,Jennifer Garner,13373,2016,7530738,36063,1528,4971
82,29000000,USA,Comedy,63034755,The Boss,R,99,5.4,Melissa McCarthy,31703,2016,2770431,5157,817,527
83,26000000,USA,Comedy,17664973,Bad Santa 2,R,92,5.5,Billy Bob Thornton,13114,2016,2494211,226,61,56
84,18000000,USA,Comedy,59573085,My Big Fat Greek Wedding 2,PG-13,94,6,Nia Vardalos,22142,2016,29234,144,20,10
85,20000000,USA,Action,36874745,Risen,PG-13,107,6.3,Joseph Fiennes,19084,2016,9357,7,0,0
